x 	 u_pred 	 u_exact 	 error	malla
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.0e+00
1.656267891793750113e+00	4.877141173489144693e-02	4.876503938570331265e-02	6.372349188134285303e-06	0.0e+00
2.500000000000000000e+00	9.768009205947777995e-02	9.772690735871880641e-02	4.681529924102645346e-05	0.0e+00
3.563578500762142554e+00	2.353638815136388229e-01	2.353011368509239087e-01	6.274466271491419000e-05	0.0e+00
4.032778552543605066e+00	3.772963936969836451e-01	3.774426413592286700e-01	1.462476622450248342e-04	0.0e+00
4.308981194331366282e+00	5.267908482823099314e-01	5.267011286103171486e-01	8.971967199278285676e-05	0.0e+00
4.502233600229765820e+00	6.879375450822858840e-01	6.879681075349036723e-01	3.056245261778833822e-05	0.0e+00
4.655904251544847661e+00	8.682594287657624532e-01	8.683709221536466405e-01	1.114933878841872783e-04	0.0e+00
4.798961416251303014e+00	1.088730508967216126e+00	1.088831919135098136e+00	1.014101678820100716e-04	0.0e+00
5.000000000000000000e+00	1.471106131310532472e+00	1.471127674303734700e+00	2.154299320222818892e-05	0.0e+00
5.159291418036112020e+00	1.779441455845617526e+00	1.779544564453554134e+00	1.031086079366083652e-04	0.0e+00
5.262607380177731997e+00	1.954598680297858992e+00	1.954743017956579454e+00	1.443376587204614481e-04	0.0e+00
5.362181421336341458e+00	2.097918493074379942e+00	2.098018103189752903e+00	9.961011537296116103e-05	0.0e+00
5.468457047911270408e+00	2.223984632323013244e+00	2.223967031510526660e+00	1.760081248658451614e-05	0.0e+00
5.591184439843708276e+00	2.340031375614428200e+00	2.339896781145718307e+00	1.345944687098921122e-04	0.0e+00
5.741088270304734564e+00	2.448514402634321740e+00	2.448391824655884896e+00	1.225779784368441483e-04	0.0e+00
5.937691009745219795e+00	2.551957124755785511e+00	2.552051260899253382e+00	9.413614346787113618e-05	0.0e+00
6.216204056136954925e+00	2.651625920548262183e+00	2.651872412668556223e+00	2.464921202940395517e-04	0.0e+00
6.658655791555246672e+00	2.749474992945450502e+00	2.749138451237758574e+00	3.365417076919285932e-04	0.0e+00
7.500000000000000000e+00	2.844542268351094805e+00	2.844528441248750816e+00	1.382710234398842886e-05	0.0e+00
1.000000000000000000e+01	2.942408128861347283e+00	2.942255348607469401e+00	1.527802538778821884e-04	0.0e+00
